name,position,GP,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pts_per_g
Elfrid Payton,PG,16,1.9,5.3,.365,0.0,0.1,.000,0.1,0.2,.333,3.0,5.8,1.1,0.5,2.3,3.9
Phillip Wheeler,,1,2.0,9.0,.222,0.0,5.0,.000,0.0,0.0,,4.0,2.0,0.0,0.0,0.0,4.0
Lamar Stevens,PF,10,1.4,3.4,.412,0.5,1.5,.333,0.7,0.9,.778,2.9,0.5,0.4,0.3,0.6,4.0
Josh Richardson,SG,8,1.4,4.8,.289,0.8,2.8,.273,0.5,0.5,1.000,1.5,1.5,1.0,0.1,1.0,4.0
Kyle Lowry,PG,33,1.2,3.4,.351,0.8,2.5,.337,0.8,1.0,.818,2.0,2.8,0.9,0.3,0.6,4.0
Malachi Flynn,PG,4,1.3,3.3,.385,0.3,1.0,.250,1.3,1.5,.833,1.8,1.8,0.8,0.0,1.0,4.0
Devin Carter,PG,29,1.3,3.4,.388,0.5,1.7,.280,0.9,1.4,.595,2.2,1.2,0.5,0.1,0.4,4.0
Kai Jones,C,6,5.3,6.3,.842,0.2,0.3,.500,1.7,2.2,.769,8.0,1.0,0.3,0.8,0.7,12.5
Kai Jones,C,28,0.9,1.3,.722,0.0,0.1,.000,0.3,0.4,.750,1.6,0.4,0.2,0.5,0.4,2.2
Kai Jones,C,34,1.7,2.2,.784,0.0,0.1,.250,0.6,0.7,.760,2.8,0.5,0.2,0.5,0.4,4.0
Jarred Vanderbilt,PF,28,1.6,3.2,.500,0.3,1.1,.300,0.5,1.0,.536,5.0,1.3,1.0,0.3,0.8,4.1
Paul Reed,C,39,1.6,3.0,.534,0.2,0.6,.348,0.7,0.9,.794,2.5,0.9,0.9,0.5,0.5,4.1
Jock Landale,C,37,1.6,3.3,.496,0.2,0.5,.389,0.6,0.9,.686,3.1,0.8,0.2,0.2,0.5,4.1
Jett Howard,SF,56,1.5,4.2,.355,0.9,3.0,.296,0.3,0.4,.750,1.2,0.7,0.2,0.2,0.5,4.1
Pat Connaughton,SG,35,1.5,3.6,.432,0.6,1.8,.313,0.4,0.5,.789,2.6,1.6,0.2,0.3,0.6,4.1
Adem Bona,C,49,1.6,2.3,.675,0.0,0.0,,0.9,1.3,.682,3.4,0.4,0.3,0.9,0.7,4.1
Marvin Bagley III,PF,7,0.7,1.9,.385,0.1,0.7,.200,0.4,0.6,.750,1.6,0.0,0.0,0.3,0.0,2.0
Marvin Bagley III,C,19,2.0,3.7,.535,0.1,0.5,.200,0.8,1.2,.652,2.9,0.4,0.4,0.3,0.6,4.9
Marvin Bagley III,PF,26,1.7,3.2,.512,0.1,0.6,.200,0.7,1.0,.667,2.6,0.3,0.3,0.3,0.4,4.1
Micah Potter,C,33,1.4,3.4,.423,0.9,2.5,.354,0.5,0.5,.889,4.2,0.8,0.3,0.3,0.8,4.2
Kessler Edwards,SF,40,1.7,3.4,.496,0.6,1.4,.407,0.3,0.3,.923,2.9,1.1,0.5,0.5,0.4,4.2
Dominick Barlow,SF,27,1.7,3.3,.511,0.2,0.8,.286,0.6,0.8,.682,2.3,0.4,0.3,0.5,0.1,4.2
Colin Castleton,C,10,2.7,5.7,.474,0.2,0.8,.250,1.3,1.7,.765,7.4,1.8,0.6,0.8,2.1,6.9
Colin Castleton,C,10,0.2,1.0,.200,0.0,0.4,.000,1.0,1.1,.909,0.9,0.0,0.1,0.1,0.1,1.4
Colin Castleton,C,20,1.5,3.4,.433,0.1,0.6,.167,1.2,1.4,.821,4.2,0.9,0.4,0.5,1.1,4.2
Daniel Theis,C,38,1.6,3.4,.473,0.2,1.0,.243,0.8,1.0,.838,4.3,1.6,0.5,0.5,0.7,4.3
Landry Shamet,SG,41,1.7,3.7,.451,0.8,2.3,.340,0.2,0.3,.538,1.0,0.5,0.5,0.0,0.4,4.3
Trevelin Queen,SG,28,1.6,4.6,.352,0.6,2.4,.242,0.5,0.6,.882,1.6,1.2,1.0,0.4,0.8,4.3
Mo Bamba,C,4,1.0,2.3,.444,0.0,1.0,.000,0.5,0.5,1.000,6.3,0.5,0.0,0.8,0.3,2.5
Mo Bamba,C,28,1.7,3.7,.466,0.5,1.8,.300,0.6,0.9,.680,4.3,0.6,0.3,1.0,0.7,4.6
Mo Bamba,C,32,1.6,3.5,.464,0.5,1.7,.278,0.6,0.8,.704,4.5,0.6,0.3,1.0,0.6,4.3
Dalen Terry,SG,66,1.6,3.5,.463,0.5,1.3,.368,0.7,1.0,.692,1.6,1.3,0.5,0.2,0.7,4.4
Gui Santos,PF,48,1.6,3.3,.484,0.7,1.9,.363,0.5,0.8,.694,3.1,1.3,0.4,0.2,0.8,4.4
Duop Reath,C,42,1.5,3.6,.428,0.8,2.3,.337,0.5,0.5,.909,2.0,0.6,0.3,0.3,0.4,4.4
Mason Plumlee,C,69,1.7,2.8,.607,0.0,0.0,.000,1.1,1.6,.646,6.2,1.8,0.4,0.6,0.8,4.4
Julian Phillips,SF,71,1.5,3.5,.430,0.6,1.9,.324,0.8,1.0,.771,2.1,0.5,0.5,0.3,0.4,4.4
Dariq Whitehead,SF,12,1.5,3.5,.429,1.3,3.0,.444,0.1,0.3,.333,0.8,0.2,0.3,0.1,0.6,4.4
Jordan Miller,SF,34,1.7,3.9,.435,0.2,1.1,.216,0.8,1.0,.788,1.7,1.0,0.5,0.1,0.7,4.4
Reggie Jackson,PG,31,1.7,4.3,.391,0.8,2.4,.338,0.2,0.3,.778,1.4,1.5,0.5,0.1,0.5,4.4
Terrence Shannon Jr. ,SG,31,1.8,3.7,.482,0.4,1.0,.355,0.5,0.7,.810,1.5,1.0,0.2,0.2,0.5,4.5
Trentyn Flowers,SF,2,2.0,4.5,.444,0.0,1.0,.000,0.5,0.5,1.000,2.0,0.0,0.0,0.0,0.5,4.5
Cody Williams,SG,50,1.7,5.1,.323,0.7,2.7,.259,0.6,0.8,.725,2.3,1.2,0.5,0.3,0.9,4.6
Jabari Walker,SF,52,1.8,3.5,.506,0.4,1.2,.383,0.7,1.0,.667,3.4,0.6,0.5,0.1,0.5,4.6
Kevon Looney,C,67,1.9,3.8,.512,0.0,0.0,.000,0.7,1.3,.545,6.2,1.6,0.6,0.5,0.6,4.6
Jaylen Clark,SG,32,1.7,3.4,.486,0.7,1.5,.449,0.6,0.8,.769,1.3,0.7,1.1,0.1,0.2,4.6
Charles Bassey,C,34,2.0,3.4,.586,0.0,0.0,,0.6,1.0,.636,4.4,0.5,0.4,0.9,0.7,4.6
Taylor Hendricks,PF,3,1.3,6.0,.222,1.0,4.0,.250,1.0,1.3,.750,5.0,0.7,1.7,1.3,0.7,4.7
Collin Gillespie,PG,25,1.7,3.5,.483,0.8,1.8,.457,0.5,0.5,.923,1.9,2.1,0.3,0.1,0.3,4.7
David Roddy,PF,3,2.7,6.3,.421,0.7,3.7,.182,0.0,0.0,,3.0,1.0,0.7,0.0,0.3,6.0
David Roddy,PF,27,1.6,3.4,.473,0.6,1.6,.372,0.7,0.8,.818,2.6,1.1,0.4,0.3,0.7,4.5
David Roddy,PF,30,1.7,3.7,.464,0.6,1.8,.333,0.6,0.7,.818,2.6,1.1,0.5,0.3,0.7,4.7
Mitchell Robinson,C,12,2.1,3.1,.676,0.0,0.0,,0.6,0.9,.636,5.6,0.6,0.9,0.8,0.5,4.8
Antonio Reeves,SG,36,1.8,4.0,.455,0.9,2.1,.403,0.3,0.4,.800,1.1,0.7,0.4,0.1,0.5,4.8
Lindy Waters III,SG,10,0.8,1.9,.421,0.7,1.6,.438,0.0,0.0,,0.3,0.5,0.3,0.0,0.3,2.3
Lindy Waters III,SG,38,2.0,5.4,.371,1.3,3.9,.331,0.2,0.3,.727,2.5,1.1,0.6,0.3,0.4,5.5
Lindy Waters III,SG,48,1.8,4.7,.375,1.2,3.4,.341,0.2,0.2,.727,2.1,1.0,0.5,0.2,0.4,4.8
Drew Eubanks,C,17,1.0,1.9,.531,0.0,0.1,.000,0.5,0.7,.750,2.5,0.3,0.1,0.3,0.4,2.5
Drew Eubanks,C,37,2.4,3.9,.607,0.1,0.1,.600,1.0,1.5,.632,4.5,1.2,0.3,0.9,0.8,5.8
Drew Eubanks,C,54,1.9,3.3,.593,0.1,0.1,.500,0.8,1.3,.652,3.9,0.9,0.2,0.7,0.7,4.8
Torrey Craig,SF,12,1.1,2.3,.464,0.7,1.7,.400,0.4,0.7,.625,1.8,0.3,0.2,0.4,0.2,3.3
Torrey Craig,SF,9,2.4,5.0,.489,1.7,3.9,.429,0.3,0.4,.750,2.8,0.6,0.2,0.1,0.0,6.9
Torrey Craig,SF,21,1.7,3.5,.479,1.1,2.6,.418,0.4,0.6,.667,2.2,0.4,0.2,0.3,0.1,4.8
Neemias Queta,C,56,2.1,3.3,.643,0.0,0.1,.000,0.7,1.0,.745,3.8,0.6,0.3,0.6,0.7,4.9
Jeff Green,PF,27,1.8,3.5,.505,0.7,2.1,.345,0.6,0.7,.850,1.7,0.5,0.2,0.1,0.3,4.9
Rob Dillingham,PG,44,2.1,4.7,.444,0.6,1.7,.342,0.2,0.3,.533,1.1,2.2,0.4,0.0,1.2,4.9
Alondes Williams,SG,1,2.0,2.0,1.000,1.0,1.0,1.000,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,5.0
Monte Morris,PG,42,1.7,4.3,.408,0.6,1.9,.329,0.9,1.0,.857,1.4,1.6,0.5,0.1,0.4,5.0
Quenton Jackson,PG,25,1.9,3.9,.495,0.5,1.2,.400,0.8,1.0,.760,1.5,1.9,0.6,0.2,0.6,5.1
Aaron Holiday,PG,55,1.8,4.2,.428,1.1,2.8,.382,0.6,0.7,.825,1.2,1.3,0.3,0.2,0.6,5.2
Bismack Biyombo,C,20,2.4,3.6,.653,0.0,0.0,,0.5,1.0,.474,5.2,1.3,0.7,0.8,0.9,5.2
Alex Reese,PF,10,1.9,3.9,.487,1.1,2.9,.379,0.6,0.8,.750,3.2,0.3,0.8,0.8,0.5,5.5
Alex Reese,PF,1,1.0,1.0,1.000,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,2.0
Alex Reese,PF,11,1.8,3.6,.500,1.0,2.6,.379,0.5,0.7,.750,3.0,0.3,0.7,0.7,0.5,5.2
Kevin Love,PF,23,1.8,5.0,.357,1.0,2.9,.358,0.7,1.0,.696,4.1,1.0,0.7,0.2,0.6,5.3
Jonathan Isaac,PF,64,1.9,4.6,.404,0.6,2.3,.262,1.0,1.5,.677,4.4,0.5,0.9,1.1,0.4,5.3
Moussa DiabatÃ©,C,64,2.2,3.8,.596,0.0,0.1,.000,0.9,1.5,.583,6.2,0.8,0.6,0.6,0.8,5.3
Kobe Bufkin,SG,10,1.8,4.7,.383,0.4,1.9,.211,1.3,1.8,.722,2.1,1.7,0.3,0.2,0.8,5.3
Kyle Anderson,SF,16,2.0,3.9,.508,0.3,0.6,.400,1.1,1.4,.783,3.2,2.3,0.4,0.3,0.6,5.4
Kyle Anderson,PF,36,2.1,4.7,.450,0.5,1.4,.365,0.5,0.8,.667,3.1,2.3,0.7,0.6,0.6,5.3
Kyle Anderson,PF,52,2.1,4.5,.466,0.4,1.2,.371,0.7,1.0,.720,3.1,2.3,0.6,0.5,0.6,5.3
Keaton Wallace,PG,28,2.0,4.9,.413,0.9,2.6,.356,0.4,0.4,1.000,1.4,2.2,0.8,0.3,1.0,5.4
Dean Wade,PF,54,1.9,4.6,.414,1.4,3.8,.356,0.3,0.5,.536,4.4,1.3,0.7,0.4,0.4,5.4
Ben Sheppard,SG,59,1.9,4.6,.421,1.1,3.2,.342,0.4,0.4,.880,2.8,1.3,0.6,0.2,0.4,5.4
Luke Kornet,C,65,2.3,3.4,.674,0.0,0.0,.000,0.9,1.3,.699,5.1,1.6,0.5,1.0,0.4,5.4
Talen Horton-Tucker,SG,50,2.0,4.5,.439,0.7,1.9,.365,0.8,1.1,.684,1.7,1.3,0.3,0.2,0.7,5.4
Javonte Green,SG,11,1.4,3.3,.417,0.7,1.8,.400,0.4,0.7,.500,2.5,0.6,0.4,0.0,0.3,3.8
Javonte Green,SG,50,2.0,4.5,.446,0.8,2.2,.352,1.0,1.3,.758,3.6,0.9,1.1,0.6,0.6,5.8
Javonte Green,SG,61,1.9,4.3,.442,0.8,2.1,.359,0.9,1.2,.730,3.4,0.9,1.0,0.5,0.5,5.4
Tidjane SalaÃ¼n,PF,51,1.8,5.3,.333,0.9,3.1,.291,1.0,1.4,.726,4.5,1.1,0.5,0.2,0.9,5.5
Ryan Rollins,PG,48,2.1,4.4,.474,0.7,2.0,.372,0.6,0.7,.800,1.8,1.5,0.7,0.3,0.8,5.5
Jonathan Mogbo,PF,55,2.1,4.9,.433,0.3,1.0,.273,1.0,1.4,.720,4.5,1.8,0.8,0.5,0.9,5.5
Jarace Walker,PF,66,2.0,4.4,.461,0.9,2.3,.383,0.6,1.0,.656,2.8,1.4,0.7,0.3,1.0,5.6
Oscar Tshiebwe,C,10,2.0,3.5,.571,0.0,0.0,,1.6,2.0,.800,7.5,0.6,0.7,0.0,0.5,5.6
Ben Simmons,PG,12,1.7,3.8,.444,0.0,0.0,,0.5,0.6,.857,4.3,3.4,0.9,0.5,0.7,3.8
Ben Simmons,PG,33,2.8,5.2,.547,0.0,0.0,,0.5,0.8,.692,5.2,6.9,0.8,0.5,2.7,6.2
Ben Simmons,PG,45,2.5,4.8,.526,0.0,0.0,,0.5,0.7,.727,5.0,6.0,0.8,0.5,2.1,5.6
Shake Milton,SG,26,1.4,3.1,.450,0.3,1.2,.300,0.7,0.8,.850,1.9,1.3,0.3,0.1,0.7,3.8
Shake Milton,SG,27,2.7,5.8,.465,1.0,2.7,.389,0.9,1.2,.758,1.9,2.4,0.6,0.0,0.7,7.4
Shake Milton,SG,53,2.1,4.5,.460,0.7,1.9,.363,0.8,1.0,.792,1.9,1.9,0.4,0.1,0.7,5.6
Isaac Okoro,SG,48,2.0,4.5,.445,1.0,2.6,.362,0.7,0.9,.711,2.2,1.3,0.6,0.3,0.4,5.7
Sandro Mamukelashvili,PF,51,2.1,4.0,.520,1.0,2.4,.413,0.6,0.9,.705,2.7,0.7,0.4,0.3,0.4,5.7
Keion Brooks Jr.,SF,6,2.2,4.2,.520,0.8,1.7,.500,0.5,1.0,.500,2.3,0.8,0.2,0.5,0.7,5.7
AJ Johnson,SG,13,2.7,6.6,.407,0.8,3.0,.256,1.0,1.2,.867,2.5,3.1,0.5,0.1,1.0,7.2
AJ Johnson,SG,7,1.1,2.7,.421,0.4,0.7,.600,0.1,0.3,.500,1.0,1.0,0.1,0.0,0.6,2.9
AJ Johnson,SG,20,2.2,5.3,.410,0.7,2.2,.295,0.7,0.9,.824,2.0,2.4,0.4,0.1,0.9,5.7
Robert Williams,C,20,2.5,3.9,.641,0.1,0.2,.333,0.8,0.9,.882,5.9,1.1,0.7,1.7,0.9,5.8
Jaylin Williams,PF,43,2.0,4.7,.433,1.3,3.3,.383,0.5,0.7,.750,5.7,2.5,0.4,0.6,0.7,5.8
Mouhamed Gueye,PF,24,2.2,5.3,.406,0.6,2.7,.231,0.8,1.0,.800,3.3,0.8,0.9,1.0,0.4,5.8
Moses Brown,C,4,5.3,7.3,.724,0.0,0.0,,1.3,1.5,.833,7.8,0.5,1.0,0.8,1.3,11.8
Moses Brown,C,9,1.4,2.2,.650,0.0,0.0,,0.3,0.6,.600,1.4,0.0,0.2,0.1,0.7,3.2
Moses Brown,C,13,2.6,3.8,.694,0.0,0.0,,0.6,0.8,.727,3.4,0.2,0.5,0.3,0.8,5.8
Kenrich Williams,PF,60,2.3,4.7,.487,1.0,2.4,.399,0.4,0.5,.828,3.3,1.3,0.6,0.2,0.5,5.9
Isaiah Wong,SG,20,2.1,5.3,.390,0.7,1.7,.394,1.3,1.7,.735,1.6,1.4,0.6,0.0,0.9,6.0
James Wiseman,C,1,2.0,4.0,.500,0.0,1.0,.000,2.0,2.0,1.000,1.0,0.0,0.0,0.0,0.0,6.0
Isaiah Stewart,C,68,2.5,4.3,.566,0.2,0.7,.311,0.9,1.2,.759,5.5,1.7,0.4,1.4,0.9,6.0
Jeremiah Robinson-Earl,PF,58,2.2,4.8,.466,0.8,2.3,.348,0.7,0.8,.837,4.4,1.2,0.6,0.1,0.7,6.0
Simone Fontecchio,SF,67,2.1,5.1,.409,1.0,3.0,.338,0.9,1.1,.818,3.0,0.9,0.4,0.2,0.7,6.1
Seth Curry,SG,62,2.3,4.9,.465,1.2,2.5,.456,0.4,0.5,.828,1.6,0.8,0.4,0.1,0.4,6.1
Donovan Clingan,C,59,2.5,4.6,.544,0.2,0.6,.297,0.9,1.5,.602,7.4,1.0,0.5,1.6,1.1,6.1
Gabe Vincent,PG,64,2.3,5.8,.399,1.4,4.1,.350,0.2,0.3,.667,1.2,1.4,0.7,0.2,0.6,6.2
Dru Smith,SG,14,2.2,4.4,.508,1.1,2.1,.533,0.6,0.9,.750,2.6,1.6,1.5,0.4,1.2,6.2
Kris Dunn,PG,65,2.5,5.9,.430,0.9,2.9,.309,0.2,0.3,.682,3.4,3.0,1.7,0.4,1.0,6.2
Precious Achiuwa,C,50,2.7,5.1,.521,0.2,0.6,.281,0.7,1.1,.625,5.4,1.0,0.8,0.7,0.7,6.2
KJ Martin,SF,17,2.5,5.1,.488,0.4,1.8,.200,0.7,1.0,.706,2.8,1.5,0.3,0.4,0.6,6.0
KJ Martin,PF,24,2.5,4.1,.616,0.3,0.9,.381,1.0,1.2,.828,3.0,0.8,0.5,0.7,0.5,6.4
KJ Martin,PF,41,2.5,4.5,.557,0.3,1.2,.275,0.9,1.1,.783,2.9,1.1,0.4,0.5,0.5,6.2
Marcus Sasser,PG,52,2.3,4.9,.471,1.0,2.6,.390,0.7,0.8,.837,1.2,2.2,0.6,0.1,0.9,6.3
Trey Lyles,PF,60,2.2,5.4,.410,1.2,3.4,.340,0.8,1.1,.719,4.5,1.2,0.6,0.4,0.6,6.3
Haywood Highsmith,SF,65,2.3,5.1,.462,1.2,3.0,.391,0.5,0.6,.750,3.2,1.5,1.0,0.6,0.7,6.3
Jamison Battle,SF,51,2.2,5.3,.419,1.6,4.0,.396,0.3,0.4,.889,2.4,0.8,0.2,0.2,0.4,6.3
Orlando Robinson,C,29,2.9,6.6,.440,0.3,1.0,.333,1.4,1.8,.804,5.9,1.8,0.4,0.4,1.3,7.6
Orlando Robinson,C,9,0.8,1.9,.412,0.1,0.6,.200,0.4,0.8,.571,1.6,1.0,0.3,0.1,0.4,2.1
Orlando Robinson,C,38,2.4,5.5,.438,0.3,0.9,.314,1.2,1.5,.776,4.9,1.6,0.4,0.4,1.1,6.3
Zach Collins,PF,19,3.6,6.5,.561,0.6,2.2,.286,1.6,1.9,.861,6.8,2.0,0.7,0.6,1.4,9.5
Zach Collins,C,36,1.7,3.7,.462,0.4,1.3,.304,0.9,1.0,.886,2.8,1.4,0.4,0.4,0.6,4.6
Zach Collins,PF,55,2.4,4.6,.510,0.5,1.6,.295,1.1,1.3,.873,4.2,1.6,0.5,0.5,0.9,6.3
Ajay Mitchell,SG,34,2.5,4.9,.506,0.6,1.5,.431,0.8,1.0,.848,2.0,1.7,0.7,0.1,0.8,6.4
Jordan Goodwin,PG,20,2.5,5.2,.481,1.1,2.5,.429,0.5,0.6,.818,3.9,1.5,1.2,0.6,0.8,6.5
Ryan Dunn,SF,66,2.6,6.0,.436,1.0,3.3,.319,0.2,0.5,.429,3.3,0.8,0.5,0.6,0.5,6.5
Jeff Dowtin,PG,39,2.6,5.2,.490,0.6,1.6,.393,0.7,1.0,.744,1.5,1.8,0.5,0.3,0.4,6.5
Alec Burks,SG,41,2.0,4.9,.416,1.6,3.7,.428,0.8,1.1,.756,2.5,1.1,0.6,0.1,0.5,6.5
Bones Hyland,PG,3,0.7,1.0,.667,0.3,0.7,.500,0.0,0.0,,0.0,1.3,0.0,0.0,0.3,1.7
Bones Hyland,PG,20,2.3,5.8,.391,1.6,4.0,.388,1.2,1.3,.885,1.2,1.4,0.9,0.2,1.2,7.2
Bones Hyland,PG,23,2.0,5.1,.398,1.4,3.6,.390,1.0,1.1,.885,1.0,1.4,0.8,0.2,1.1,6.5
Gary Payton II,SG,58,2.8,4.8,.585,0.5,1.5,.330,0.5,0.7,.711,3.0,1.3,0.8,0.3,0.6,6.6
DaQuan Jeffries,SG,38,2.5,6.0,.410,1.2,3.3,.346,0.5,0.6,.826,2.7,1.1,0.6,0.6,0.7,6.6
Ron Holland,SF,74,2.5,5.2,.479,0.5,2.0,.234,1.1,1.5,.759,2.7,1.0,0.6,0.2,0.9,6.6
Thomas Bryant,C,47,2.8,5.4,.520,0.8,2.3,.330,0.8,1.0,.804,4.1,1.0,0.5,0.5,0.6,7.1
Thomas Bryant,C,10,1.2,2.8,.429,0.6,1.7,.353,1.1,1.1,1.000,3.2,0.4,0.1,0.9,0.2,4.1
Thomas Bryant,C,57,2.5,4.9,.511,0.7,2.2,.333,0.8,1.0,.842,4.0,0.9,0.4,0.6,0.5,6.6
Jamal Shead,PG,68,2.6,6.2,.420,0.9,2.8,.330,0.6,0.8,.745,1.5,3.9,0.7,0.1,1.5,6.8
Trayce Jackson-Davis,C,56,2.9,5.1,.571,0.0,0.0,.000,1.0,1.6,.587,5.3,1.8,0.4,0.7,0.7,6.8
Eric Gordon,SG,39,2.2,5.2,.426,1.4,3.5,.409,0.9,1.2,.750,1.2,1.7,0.7,0.3,0.7,6.8
Josh Okogie,SG,8,2.9,6.9,.418,1.1,3.0,.375,2.3,2.9,.783,3.1,1.4,2.5,0.6,1.1,9.1
Josh Okogie,SG,25,2.2,4.6,.491,0.6,1.7,.381,0.9,1.3,.688,2.9,0.6,0.8,0.4,0.6,6.0
Josh Okogie,SG,33,2.4,5.1,.467,0.8,2.0,.379,1.2,1.7,.727,2.9,0.8,1.2,0.5,0.8,6.8
Matisse Thybulle,SG,7,2.6,5.0,.514,1.4,3.1,.455,0.3,0.6,.500,3.3,1.4,2.1,0.4,0.4,6.9
Chuma Okeke,PF,7,2.6,4.7,.545,1.4,3.1,.455,0.3,0.4,.667,6.1,1.9,0.7,0.4,0.4,6.9
Karlo MatkoviÄ,PF,36,2.8,4.9,.571,0.4,1.3,.348,0.8,1.0,.784,4.8,1.0,0.5,1.0,1.1,6.9
Vit Krejci,PG,48,2.4,5.3,.461,1.5,3.7,.404,0.6,0.8,.675,2.6,2.7,0.6,0.5,0.9,6.9
Alex Caruso,SG,48,2.5,5.7,.445,1.1,3.2,.357,0.7,0.9,.805,2.8,2.6,1.6,0.6,0.7,6.9
Jake LaRavia,PF,19,2.2,5.1,.438,1.1,2.7,.385,0.6,1.0,.579,2.8,1.3,0.9,0.2,0.9,6.1
Jake LaRavia,PF,47,2.5,5.1,.490,0.9,1.9,.444,1.4,2.0,.698,4.4,2.8,0.9,0.4,1.5,7.3
Jake LaRavia,PF,66,2.4,5.1,.475,0.9,2.2,.423,1.2,1.7,.678,3.9,2.4,0.9,0.3,1.3,6.9
Vasilije MiciÄ,PG,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.7,0.0,0.0,0.0,0.7,0.0
Vasilije MiciÄ,PG,36,2.6,7.6,.348,1.3,3.5,.360,0.9,1.1,.829,2.4,3.5,0.4,0.0,2.1,7.5
Vasilije MiciÄ,PG,39,2.4,7.0,.348,1.2,3.2,.360,0.9,1.1,.829,2.3,3.3,0.4,0.0,1.9,6.9
Vince Williams Jr.,SG,21,2.6,6.6,.399,1.0,3.7,.260,0.8,1.0,.773,3.6,2.0,0.5,0.2,1.4,7.0
Cameron Payne,PG,66,2.5,6.1,.408,1.3,3.6,.366,0.7,0.7,.896,1.5,2.7,0.5,0.2,0.7,7.0
Isaiah Jackson,C,5,2.8,4.6,.609,0.0,0.0,,1.4,2.8,.500,5.6,1.0,0.6,1.6,1.0,7.0
Marcus Garrett,SG,4,2.8,6.8,.407,0.8,2.0,.375,0.8,1.0,.750,1.5,3.3,0.8,0.5,1.5,7.0
Jay Huff,C,58,2.5,4.9,.516,1.3,3.3,.413,0.7,0.9,.778,2.1,0.6,0.2,0.9,0.5,7.1
Ricky Council IV,SF,64,2.4,6.0,.390,0.8,2.9,.273,1.6,1.9,.806,2.6,1.3,0.5,0.2,0.6,7.1
Jared Rhoden,SG,6,3.7,8.7,.423,1.3,4.3,.308,2.5,3.0,.833,4.3,1.0,1.0,0.3,1.0,11.2
Jared Rhoden,SG,4,0.5,2.0,.250,0.0,0.5,.000,0.0,0.0,,1.0,0.5,0.3,0.0,0.3,1.0
Jared Rhoden,SG,10,2.4,6.0,.400,0.8,2.8,.286,1.5,1.8,.833,3.0,0.8,0.7,0.2,0.7,7.1
Sam Merrill,SG,65,2.4,6.0,.404,1.9,5.2,.367,0.4,0.4,.966,2.2,1.4,0.7,0.2,0.5,7.2
Jaxson Hayes,C,48,3.0,4.1,.732,0.0,0.1,.000,1.2,1.8,.659,4.8,1.1,0.6,1.0,0.8,7.2
Tristan Da Silva,SF,69,2.7,6.5,.415,1.1,3.2,.330,0.8,0.9,.869,3.3,1.5,0.4,0.2,0.8,7.2
Bol Bol,PF,33,2.8,5.4,.522,0.9,2.7,.344,0.6,0.8,.769,3.1,0.6,0.3,0.8,0.5,7.2
Tre Jones,PG,18,4.6,8.1,.572,0.6,1.2,.500,1.7,1.9,.882,3.2,4.9,1.1,0.3,0.8,11.5
Tre Jones,PG,28,1.6,3.3,.484,0.3,0.9,.308,0.9,1.2,.758,2.1,3.7,0.6,0.2,0.8,4.4
Tre Jones,PG,46,2.8,5.2,.538,0.4,1.0,.396,1.2,1.5,.821,2.5,4.2,0.8,0.2,0.8,7.2
KJ Simpson,PG,27,2.6,7.5,.342,0.8,3.2,.253,1.4,1.7,.822,2.7,2.7,0.8,0.1,1.5,7.3
Andre Drummond,C,40,2.9,5.9,.500,0.1,0.5,.150,1.4,2.3,.622,7.8,0.9,1.0,0.5,1.4,7.3
Goga Bitadze,C,63,3.0,4.9,.622,0.0,0.4,.125,1.2,1.9,.628,6.8,1.9,0.7,1.5,1.1,7.3
Jalen Hood-Schifino,SG,6,3.0,8.3,.360,1.5,4.7,.321,1.5,2.0,.750,1.8,2.3,0.5,0.8,1.0,9.0
Jalen Hood-Schifino,SG,2,0.5,0.5,1.000,0.0,0.0,,1.0,1.0,1.000,0.5,0.5,0.0,0.5,0.5,2.0
Jalen Hood-Schifino,SG,8,2.4,6.4,.373,1.1,3.5,.321,1.4,1.8,.786,1.5,1.9,0.4,0.8,0.9,7.3
Garrison Mathews,SG,46,2.1,5.4,.395,1.8,4.6,.389,1.4,1.7,.818,1.8,1.3,0.6,0.3,0.6,7.4
Josh Green,SG,66,2.7,6.2,.425,1.4,3.7,.383,0.7,1.0,.676,2.6,1.6,1.1,0.2,1.0,7.4
A.J. Green,SG,66,2.5,5.9,.423,2.1,5.0,.414,0.3,0.4,.833,2.3,1.5,0.5,0.1,0.6,7.4
Cody Martin,SF,7,1.9,5.0,.371,0.4,2.9,.150,0.6,0.9,.667,4.0,1.3,1.3,0.4,0.9,4.7
Cody Martin,SF,39,3.0,6.9,.433,1.0,3.2,.323,0.9,1.3,.694,4.5,2.3,1.1,0.7,1.1,7.8
Cody Martin,SF,46,2.8,6.6,.426,0.9,3.1,.299,0.8,1.2,.691,4.4,2.1,1.1,0.6,1.0,7.4
Davion Mitchell,PG,22,3.7,7.2,.516,1.4,2.9,.484,0.9,1.4,.667,2.6,4.8,1.1,0.3,1.7,9.8
Davion Mitchell,PG,44,2.4,5.5,.434,1.0,2.7,.359,0.6,0.8,.676,1.9,4.6,0.7,0.2,1.8,6.3
