name,position,GP,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pts_per_g
Yuki Kawamura,PG,20,0.4,1.1,.364,0.2,0.8,.250,0.2,0.3,.667,0.4,0.7,0.1,0.0,0.2,1.2
Spencer Jones,SF,19,0.5,1.4,.346,0.1,0.7,.077,0.2,0.2,1.000,0.7,0.2,0.3,0.2,0.3,1.2
Garrett Temple,SG,25,0.4,1.7,.214,0.2,0.8,.250,0.4,0.4,.900,1.0,1.0,0.6,0.1,0.4,1.3
Skal LabissiÃ¨re,PF,4,0.5,1.0,.500,0.3,0.3,1.000,0.0,0.0,,0.8,0.3,0.0,0.0,0.0,1.3
David Duke Jr.,SG,4,0.5,1.8,.286,0.0,0.3,.000,0.3,0.5,.500,0.8,0.8,0.0,0.0,0.3,1.3
Adam Flagler,SG,31,0.5,2.3,.236,0.3,1.8,.182,0.0,0.0,,0.5,0.3,0.2,0.1,0.1,1.4
Matt Ryan,SF,19,0.5,1.6,.323,0.3,1.0,.316,0.1,0.1,1.000,0.4,0.2,0.1,0.0,0.2,1.5
Quincy Olivari,PG,2,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,,0.0,0.5,0.0,0.0,0.5,1.5
Jazian Gortman,PG,16,0.6,1.4,.391,0.3,0.7,.364,0.1,0.3,.500,0.3,0.4,0.1,0.1,0.3,1.5
Alex Ducas,SG,19,0.5,1.3,.400,0.5,0.9,.500,0.0,0.0,,1.0,0.2,0.3,0.0,0.2,1.5
Vlatko ÄanÄar,PF,11,0.6,1.7,.368,0.2,0.8,.222,0.0,0.0,,2.6,0.6,0.1,0.1,0.7,1.5
Jordan Walsh,PF,46,0.6,1.5,.371,0.3,1.0,.283,0.2,0.3,.583,1.2,0.3,0.2,0.2,0.3,1.6
Armel TraorÃ©,SF,9,0.7,2.1,.316,0.0,0.8,.000,0.2,0.8,.286,1.7,0.1,0.4,0.2,0.3,1.6
